 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.052,8.335,106,85,42071,396.896,57.611,389,317,527,153.274,133.019,6.972,0.593,0.179,0.623,153.249,133.021,6.945,149,132,5,10,3,5
2,0.377,4.177,38,32,15524,408.526,70.682,399,319,577,72.158,174.921,7.184,0.417,0.144,0.400,72.173,174.910,7.171,70,174,5,5,3,5
3,0.377,4.244,38,31,14618,384.684,52.600,377,320,525,133.368,200.842,6.789,0.408,0.124,0.381,133.362,200.853,6.777,132,199,5,4,4,5
4,0.318,3.893,32,27,11881,371.281,38.309,372,319,464,151.969,208.656,6.875,0.393,0.129,0.377,151.969,208.698,6.854,151,207,5,4,4,5
5,0.586,5.557,59,46,23226,393.661,65.153,380,317,570,95.458,209.678,8.119,0.474,0.128,0.450,95.446,209.694,8.109,93,208,6,5,5,5
6,0.218,2.888,22,21,8120,369.091,34.240,365,322,462,133.091,143.818,9.909,0.331,0.100,0.348,133.112,143.818,9.899,132,142,8,3,4,4
7,0.407,4.439,41,36,16586,404.537,65.518,394,320,548,191.122,171.707,9.854,0.423,0.145,0.402,191.111,171.750,9.842,190,170,8,4,4,5
8,0.248,3.499,25,24,9124,364.960,40.549,351,318,483,67.760,200.920,10.560,0.345,0.119,0.287,67.766,200.913,10.570,66,199,9,4,4,4
9,0.596,5.752,60,47,23855,397.583,58.443,385,318,540,83.367,166.950,12.367,0.490,0.139,0.480,83.348,166.940,12.362,82,165,10,4,5,6
10,0.328,4.068,33,28,12954,392.545,56.681,387,317,518,141.697,207.061,14.333,0.408,0.143,0.395,141.717,207.088,14.335,140,206,12,4,4,5
11,0.486,4.875,49,40,20712,422.694,64.429,419,326,560,107.959,160.857,15.082,0.469,0.154,0.433,107.933,160.816,15.103,107,159,13,3,5,5
